employee_id,employee_name,business_unit,join_date,status,region,cost_to_company
EMP1000,Daniel Thornton,Enterprise,11-02-2023,Active,South,1566441
EMP1001,Ashley Burch,Retail,10-09-2020,Active,West,1533942
EMP1002,Angel Perry,Online,28-02-2022,Active,East,962333
EMP1003,Kimberly Harmon,Online,15-10-2021,Active,North,503403
EMP1004,Sarah Smith DDS,Enterprise,31-01-2023,Active,West,1051271
EMP1005,Sierra Jordan,Enterprise,19-01-2023,Active,South,731473
EMP1006,Adam Wood,Enterprise,30-10-2019,Active,West,596883
EMP1007,Keith Collins,Online,08-03-2023,Active,East,864597
EMP1008,Mitchell Kelly,Enterprise,30-08-2021,Active,North,1736454
EMP1009,Jacob Mendez,Enterprise,28-08-2023,Active,North,1479884
EMP1010,William Bryant,Enterprise,02-01-2022,Active,North,1160373
EMP1011,Sean Daniels,Retail,29-06-2022,Active,South,1603487
EMP1012,William Day,Retail,02-08-2020,Active,East,876810
EMP1013,Ashley Mason,Enterprise,19-01-2020,Active,North,1675111
EMP1014,Christopher Miller,Enterprise,20-06-2023,Active,West,1780847
EMP1015,Michelle Jimenez DDS,Online,09-01-2022,Active,West,1710220
EMP1016,Brenda Johnson,Enterprise,27-07-2021,Active,East,416329
EMP1017,Vanessa Green,Online,24-02-2021,Active,South,1016140
EMP1018,Natalie York,Retail,10-05-2020,Active,East,1127214
EMP1019,Kayla Ferguson MD,Online,02-10-2023,Active,East,1268998
EMP1020,Douglas Manning,Online,26-12-2020,Active,North,1345117
EMP1021,Ashley Floyd,Retail,17-12-2019,Active,South,1202540
EMP1022,Gloria Gardner,Online,10-01-2022,Active,East,1029953
EMP1023,Christine Hodges,Retail,04-04-2022,Active,West,444793
EMP1024,Dana Williams,Retail,09-03-2021,Active,South,1196625
EMP1025,Gregory Nelson,Online,23-05-2022,Active,South,731990
EMP1026,Stephanie Bailey,Retail,22-12-2021,Active,North,1161267
EMP1027,Melissa Garcia,Enterprise,25-10-2020,Active,North,791519
EMP1028,Tim Rodriguez,Online,17-09-2023,Active,North,1746633
EMP1029,Kristina Tucker,Retail,05-06-2021,Active,North,1265713
EMP1030,Holly Marks,Retail,15-02-2020,Active,North,1571351
EMP1031,Michael Smith,Online,08-03-2020,Active,West,1441184
EMP1032,Benjamin Adams,Enterprise,16-04-2020,Active,North,435738
EMP1033,Chelsey Mercado,Online,06-10-2023,Active,North,812514
EMP1034,Misty Butler,Online,29-07-2020,Active,North,1192658
EMP1035,Robert Deleon,Online,05-12-2021,Active,East,557184
EMP1036,Dana Ross,Enterprise,03-10-2023,Active,North,1027205
EMP1037,Joseph Jackson,Online,14-09-2021,Active,South,904743
EMP1038,Brandon Smith,Enterprise,22-12-2022,Active,South,1411760
EMP1039,Brian Jones,Online,09-11-2022,Active,East,1016229
EMP1040,Shane King,Retail,24-10-2019,Active,West,513302
EMP1041,Jeff Norris,Enterprise,11-02-2023,Active,South,1312252
EMP1042,Kevin Webb,Enterprise,22-05-2021,Active,South,1164582
EMP1043,Misty Li,Retail,14-06-2021,Active,East,1793337
EMP1044,Nathaniel Middleton,Online,13-01-2019,Active,West,828588
EMP1045,Dean Vazquez,Enterprise,06-06-2023,Active,West,602700
